GF000001	Cdi	CD01268	NA=Hypp508	OG0000001	O=0,R=0
GF000001	Cdi	CD01648	NA=Hypp677	OG0000001	O=0,R=0
GF000001	Cdi	CD01657	NA=Hypp685	OG0000001	O=0,R=0
GF000001	Cdi	CD01659	NA=Hypp687	OG0000001	O=0,R=0
GF000001	Cdi	CD02002	NA=Hypp798	OG0000001	O=0,R=0
GF000001	Cdi	CD02005	NA=Hypp801	OG0000001	O=0,R=0
GF000001	Cdi	CD02019	NA=Hypp813	OG0000001	O=0,R=0
GF000001	Cdi	CD02031	CG33054=Hypp825	OG0000001	O=0,R=0
GF000001	Cdi	CD02104	CG16863=ZBED4	OG0000001	O=0,R=0
GF000001	Cdi	CD03491	NA=Hypp1411	OG0000001	O=0,R=0
GF000001	Cdi	CD03761	NA=Hypp1523	OG0000001	O=0,R=0
GF000001	Cdi	CD03812	NA=Hypp1551	OG0000001	O=0,R=0
GF000001	Cdi	CD03890	NA=Hypp1588	OG0000001	O=0,R=0
GF000001	Cdi	CD04364	NA=Hypp1782	OG0000001	O=0,R=0
GF000001	Cdi	CD04369	NA=Hypp1787	OG0000001	O=0,R=0
GF000001	Cdi	CD04375	NA=Hypp1793	OG0000001	O=0,R=0
GF000001	Cdi	CD04606	NA=Hypp1882	OG0000001	O=0,R=0
GF000001	Cdi	CD04607	NA=Hypp1883	OG0000001	O=0,R=0
GF000001	Cdi	CD04700	NA=Hypp1914	OG0000001	O=0,R=0
GF000001	Cdi	CD04701	NA=Hypp1915	OG0000001	O=0,R=0
GF000001	Cdi	CD04934	NA=Hypp2013	OG0000001	O=0,R=0
GF000001	Cdi	CD06427	NA=UNC13C	OG0000001	O=0,R=0
GF000001	Cdi	CD07136	NA=Hypp2796	OG0000001	O=0,R=0
GF000001	Cdi	CD07288	NA=Hypp2855	OG0000001	O=0,R=0
GF000001	Cdi	CD08454	NA=Hypp3296	OG0000001	O=0,R=0
GF000001	Cdi	CD08499	NA=Hypp3318	OG0000001	O=0,R=0
GF000001	Cdi	CD09558	NA=Hypp3720	OG0000001	O=0,R=0
GF000001	Cdi	CD09559	NA=Hypp3721	OG0000001	O=0,R=0
GF000001	Cdi	CD09619	NA=Hypp3736	OG0000001	O=0,R=0
GF000001	Cdi	CD10031	NA=Hypp3906	OG0000001	O=0,R=0
GF000001	Cdi	CD10032	NA=Hypp3907	OG0000001	O=0,R=0
GF000001	Cdi	CD10329	NA=Hypp4061	OG0000001	O=0,R=0
GF000001	Cdi	CD10821	NA=Hypp4242	OG0000001	O=0,R=0
GF000001	Cdi	CD10853	NA=Hypp4254	OG0000001	O=0,R=0
GF000001	Cdi	CD11170	NA=Hypp4390	OG0000001	O=0,R=0
GF000001	Cdi	CD11210	NA=Hypp4409	OG0000001	O=0,R=0
GF000001	Cdi	CD11284	NA=Hypp4433	OG0000001	O=0,R=0
GF000001	Cdi	CD11882	NA=Hypp4643	OG0000001	O=0,R=0
